IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,53866,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,mtalk.google.com,62,117,1,1,2026-06-26T21:31:24.465+02:00,2026-06-26T21:31:24.472+02:00
6,10.215.173.1,47442,74.125.71.188,5228,10247,Services Google Play,com.google.android.gms,TLS,Closed,mtalk.google.com,1360,1148,7,7,2026-06-26T21:31:24.505+02:00,2026-06-26T21:32:24.924+02:00
17,10.215.173.1,49393,10.215.173.2,53,1021,GPS,gps,DNS,Closed,1.pool.ntp.org,60,124,1,1,2026-06-26T21:31:24.508+02:00,2026-06-26T21:31:24.523+02:00
17,10.215.173.1,21036,10.215.173.2,53,1021,GPS,gps,DNS,Closed,0.pool.ntp.org,60,124,1,1,2026-06-26T21:31:24.509+02:00,2026-06-26T21:31:24.524+02:00
17,10.215.173.1,16628,10.215.173.2,53,1021,GPS,gps,DNS,Closed,2.pool.ntp.org,60,124,1,1,2026-06-26T21:31:24.512+02:00,2026-06-26T21:31:24.528+02:00
17,10.215.173.1,41005,10.215.173.2,53,1021,GPS,gps,DNS,Closed,3.pool.ntp.org,60,124,1,1,2026-06-26T21:31:24.514+02:00,2026-06-26T21:31:24.529+02:00
17,10.215.173.1,54284,176.137.36.37,123,1021,GPS,gps,NTP,Closed,1.pool.ntp.org,76,76,1,1,2026-06-26T21:31:24.526+02:00,2026-06-26T21:31:24.554+02:00
17,10.215.173.1,55148,51.91.15.107,123,1021,GPS,gps,NTP,Closed,0.pool.ntp.org,76,76,1,1,2026-06-26T21:31:24.527+02:00,2026-06-26T21:31:24.547+02:00
17,10.215.173.1,51996,51.91.83.168,123,1021,GPS,gps,NTP,Closed,2.pool.ntp.org,76,76,1,1,2026-06-26T21:31:24.533+02:00,2026-06-26T21:31:24.552+02:00
17,10.215.173.1,38415,51.68.44.27,123,1021,GPS,gps,NTP,Closed,3.pool.ntp.org,76,76,1,1,2026-06-26T21:31:24.534+02:00,2026-06-26T21:31:24.555+02:00
17,10.215.173.1,60404,10.215.173.2,53,10308,Facebook,com.facebook.katana,DNS,Closed,edge-mqtt.facebook.com,68,108,1,1,2026-06-26T21:31:24.608+02:00,2026-06-26T21:31:24.626+02:00
6,10.215.173.1,34354,157.240.202.23,443,10308,Facebook,com.facebook.katana,HTTPS,Closed,edge-mqtt.facebook.com,3983,2996,21,20,2026-06-26T21:31:24.624+02:00,2026-06-26T21:31:24.820+02:00
17,10.215.173.1,46323,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,android.apis.google.com,69,109,1,1,2026-06-26T21:31:24.631+02:00,2026-06-26T21:31:24.647+02:00
17,10.215.173.1,48047,142.251.39.110,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,android.apis.google.com,3565,4602,9,11,2026-06-26T21:31:24.655+02:00,2026-06-26T21:31:24.753+02:00
17,10.215.173.1,4672,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,play-fe.googleapis.com,68,84,1,1,2026-06-26T21:31:24.724+02:00,2026-06-26T21:31:24.730+02:00
17,10.215.173.1,45450,172.217.20.46,443,10251,Google Play Store,com.android.vending,QUIC,Closed,play-fe.googleapis.com,368553,37864,322,119,2026-06-26T21:31:24.738+02:00,2026-06-26T21:31:26.047+02:00
6,10.215.173.1,48506,172.217.20.46,443,10251,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2891,2932,10,10,2026-06-26T21:31:24.751+02:00,2026-06-26T21:31:29.964+02:00
17,10.215.173.1,37973,10.215.173.2,53,10067,Meta Services,com.facebook.services,DNS,Closed,z-m-gateway.facebook.com,70,114,1,1,2026-06-26T21:31:26.039+02:00,2026-06-26T21:31:26.059+02:00
6,10.215.173.1,40478,157.240.202.38,443,10067,Meta Services,com.facebook.services,HTTPS,Closed,z-m-gateway.facebook.com,3515,4623,21,16,2026-06-26T21:31:26.066+02:00,2026-06-26T21:35:26.250+02:00
17,10.215.173.1,24337,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,play.googleapis.com,65,129,1,1,2026-06-26T21:31:32.940+02:00,2026-06-26T21:31:33.003+02:00
6,10.215.173.1,37650,216.239.34.223,443,10251,Google Play Store,com.android.vending,HTTPS,Closed,play.googleapis.com,8298,7827,9,11,2026-06-26T21:31:33.008+02:00,2026-06-26T21:31:39.461+02:00
